"SC5-15LW","StateProvince"
"SCLS-3VA","StateProvince"
"ENLS-12C","StateProvince"
"ENLS-4A","StateProvince"
"ENLS-1A","StateProvince"
"ENLS-6A","StateProvince"
"ENLS-9A","StateProvince"
"ENLS-15D","StateProvince"
"EN5-1A","StateProvince"
"EN5-4B","StateProvince"
"EN5-3B","StateProvince"
"EN5-9E","StateProvince"
"ENLS-5A","StateProvince"
"ENLS-2A","StateProvince"
"EN4-4B","StateProvince"
"EN4-5C","StateProvince"
"EN4-6C","StateProvince"
"ENLS-3A","StateProvince"
"ENLS-10B","StateProvince"
"ENLS-13C","StateProvince"
"EN4-1A","StateProvince"
"EN4-8D","StateProvince"
"EN4-3B","StateProvince"
"EN4-2A","StateProvince"
"EN4-9E","StateProvince"
"EN4-7D","StateProvince"
"ENLS-14D","StateProvince"
"ENLS-7A","StateProvince"
"EN5-2A","StateProvince"
"EN5-7D","StateProvince"
"EN5-5C","StateProvince"
"EN5-8D","StateProvince"
"EN5-6C","StateProvince"
"ENLS-11B","StateProvince"
"ENLS-8A","StateProvince"
"MAe-5NA","StateProvince"
"MAe-10MG","StateProvince"
"MAe-13MG","StateProvince"
"MAe-6NA","StateProvince"
"MAe-4NA","StateProvince"
"MAe-17SP","StateProvince"
"MAe-7NA","StateProvince"
"MAe-9MG","StateProvince"
"MAe-16MG","StateProvince"
"MAe-12MG","StateProvince"
"MAe-8NA","StateProvince"
"MAe-2WM","StateProvince"
"MAe-3WM","StateProvince"
"MAe-15MG","StateProvince"
"MAe-14MG","StateProvince"
"MAe-11MG","StateProvince"
"MA1-13MG","StateProvince"
"MA1-7NA","StateProvince"
"MA1-10MG","StateProvince"
"MA1-16MG","StateProvince"
"MA1-6NA","StateProvince"
"MA1-8NA","StateProvince"
"MA1-3WM","StateProvince"
"MA1-15MG","StateProvince"
"MA1-11MG","StateProvince"
"MA5.2-2WM","StateProvince"
"MA5.3-2WM","StateProvince"
"MA5.1-3WM","StateProvince"
"MA5.3-3WM","StateProvince"
"MA1-5NA","StateProvince"
"MA1-1WM","StateProvince"
"MA1-9MG","StateProvince"
"MA1-12MG","StateProvince"
"MA1-18SP","StateProvince"
"MA1-17SP","StateProvince"
"MA1-4NA","StateProvince"
"MA1-2WM","StateProvince"
"MA1-14MG","StateProvince"
"MA2-5NA","StateProvince"
"MA2-10MG","StateProvince"
"MA2-19SP","StateProvince"
"MA2-17MG","StateProvince"
"MA2-12MG","StateProvince"
"MA2-6NA","StateProvince"
"MA2-8NA","StateProvince"
"MA2-4NA","StateProvince"
"MA2-2WM","StateProvince"
"MA2-3WM","StateProvince"
"MA2-7NA","StateProvince"
"MA2-14MG","StateProvince"
"MA2-16MG","StateProvince"
"MA2-18SP","StateProvince"
"MA2-9MG","StateProvince"
"MA2-1WM","StateProvince"
"MA2-15MG","StateProvince"
"MA2-13MG","StateProvince"
"MA2-11MG","StateProvince"
"MA3-13MG","StateProvince"
"MA3-11MG","StateProvince"
"MA3-6NA","StateProvince"
"MA3-7NA","StateProvince"
"MA3-4NA","StateProvince"
"MA3-19SP","StateProvince"
"MA3-14MG","StateProvince"
"MA3-5NA","StateProvince"
"MA3-16MG","StateProvince"
"MA3-10MG","StateProvince"
"MA3-8NA","StateProvince"
"MA3-9MG","StateProvince"
"MA3-17MG","StateProvince"
"MA3-12MG","StateProvince"
"MA3-2WM","StateProvince"
"MA3-15MG","StateProvince"
"MA3-3WM","StateProvince"
"MA4-2WM","StateProvince"
"MA4-3WM","StateProvince"
"MA5.1-2WM","StateProvince"
"MA5.2-3WM","StateProvince"
"STe-10ME","StateProvince"
"STe-5WT","StateProvince"
"STe-4WS","StateProvince"
"STe-8NE","StateProvince"
